Exercises,Age_Group,Goal,Level,Equipment,Duration_min,Impact,Muscle_group,Restrictions
Walking,All,General Fitness,Beginner,None,20,Low,Full Body,None
Marching in Place,All,General Fitness,Beginner,None,10,Low,Full Body,None
Bodyweight Squat,"Teen, Adult",Strength,Beginner,None,10,Medium,Legs,Knee limitations
Wall Push-up,"Teen, Adult",Strength,Beginner,Wall,10,Low,Chest,Shoulder/wrist limitations
Glute Bridge,"Teen, Adult",Strength,Beginner,None,10,Low,Glutes,Back limitations
Standing Calf Raise,"Adult, Senior",Mobility,Beginner,None,10,Low,Calves,Balance limitations
Chair Sit-to-Stand,Senior,Mobility,Beginner,Chair,10,Low,Legs,Knee limitations
Gentle Mobility Routine,"Adult, Senior",Mobility,Beginner,None,10,Low,Full Body,Pain/injury
Plank,"Teen, Adult",Core,Beginner,None,5,Medium,Core,Back limitations
Step-up,"Teen, Adult",Strength,Beginner,Step,10,Medium,Legs,Knee/balance limitations
Cycling,"Teen, Adult",General Fitness,Beginner,Bicycle,20,Medium,Legs,Balance/joint limitations
Jumping Jacks,"Teen, Adult",Endurance,Beginner,None,5,High,Full Body,Joint limitations
High Knees,"Teen, Adult",Endurance,Beginner,None,5,High,Legs,Joint limitations
Lunges,"Teen, Adult",Strength,Beginner,None,10,Medium,Legs,Knee/balance limitations
Bird Dog,"Adult, Senior",Core,Beginner,None,10,Low,Core,Balance limitations
Heel-to-Toe Walk,Senior,Mobility,Beginner,None,10,Low,Legs,Balance limitations
Arm Circles,All,Flexibility,Beginner,None,5,Low,Shoulders,Shoulder pain
Neck Mobility,"Adult, Senior",Mobility,Beginner,None,5,Low,Neck,Pain/injury
Side Leg Raise,"Adult, Senior",Mobility,Beginner,Chair,10,Low,Hips,Balance/hip limitations
Wall Sit,"Teen, Adult",Strength,Beginner,Wall,5,Medium,Legs,Knee limitations
Knee Push-up,"Teen, Adult",Strength,Beginner,None,10,Low,Chest,Wrist limitations
Incline Push-up,"Teen, Adult",Strength,Beginner,Bench,10,Low,Chest,Wrist limitations
Standing Dumbbell Bicep Curl,"Teen, Adult",Strength,Beginner,Dumbbell,10,Low,Biceps,Wrist limitations
Seated Dumbbell Shoulder Press,Adult,Strength,Beginner,Dumbbell,10,Medium,Shoulders,Shoulder limitations
Overhead Triceps Extension,Adult,Strength,Beginner,Dumbbell,10,Low,Triceps,Shoulder/elbow limitations
Standing Lateral Raise,Adult,Strength,Beginner,Dumbbell,10,Low,Shoulders,Shoulder limitations
Assisted Squat,Senior,Mobility,Beginner,Chair,10,Low,Legs,Knee limitations
Toe Touches,"Teen, Adult",Flexibility,Beginner,None,5,Low,Core,Back limitations
Superman Hold,"Teen, Adult",Core,Beginner,None,5,Low,Back,Back limitations
Dead Bug,"Teen, Adult",Core,Beginner,None,10,Low,Core,Back limitations
Standing Hip Abduction,"Adult, Senior",Mobility,Beginner,None,10,Low,Hips,Hip limitations
Ankle Circles,All,Mobility,Beginner,None,5,Low,Calves,None
Cat-Cow Stretch,All,Flexibility,Beginner,None,5,Low,Back,None
Child's Pose,All,Flexibility,Beginner,None,5,Low,Back,Knee limitations
Seated Forward Bend,All,Flexibility,Beginner,None,5,Low,Full Body,Back limitations
Wall Angels,"Teen, Adult",Mobility,Beginner,Wall,5,Low,Shoulders,Shoulder limitations
Box Step-up,"Teen, Adult",Strength,Beginner,Step,10,Medium,Legs,Knee/balance limitations
Resistance Band Pull-Apart,"Teen, Adult",Strength,Beginner,Resistance Band,10,Low,Shoulders,Shoulder limitations
Farmer's Carry Light,Adult,Strength,Beginner,Dumbbell,10,Medium,Full Body,Grip/back limitations
Bodyweight Good Morning,"Teen, Adult",Strength,Beginner,None,10,Low,Back,Back limitations
Side Plank Knee Down,"Teen, Adult",Core,Beginner,None,5,Low,Core,Shoulder limitations
Push-up,"Teen, Adult",Strength,Intermediate,None,10,Medium,Chest,Wrist/shoulder limitations
Diamond Push-up,Adult,Strength,Intermediate,None,10,Medium,Triceps,Wrist limitations
Pike Push-up,Adult,Strength,Intermediate,None,10,Medium,Shoulders,Shoulder/wrist limitations
Mountain Climbers,"Teen, Adult",Endurance,Intermediate,None,10,High,Core,Wrist/knee limitations
Burpees,"Teen, Adult",Endurance,Intermediate,None,10,High,Full Body,Knee/back limitations
Bulgarian Split Squat,Adult,Strength,Intermediate,Bench,10,Medium,Legs,Knee/balance limitations
Goblet Squat,Adult,Strength,Intermediate,Dumbbell,10,Medium,Legs,Knee limitations
Dumbbell Deadlift,Adult,Strength,Intermediate,Dumbbell,10,Medium,Back,Back limitations
Dumbbell Romanian Deadlift,Adult,Strength,Intermediate,Dumbbell,10,Medium,Back,Back limitations
Bent-over Dumbbell Row,Adult,Strength,Intermediate,Dumbbell,10,Medium,Back,Back limitations
Dumbbell Bench Press,Adult,Strength,Intermediate,Dumbbell,10,Medium,Chest,Shoulder limitations
Dumbbell Chest Fly,Adult,Strength,Intermediate,Dumbbell,10,Low,Chest,Shoulder limitations
Dumbbell Shoulder Press,Adult,Strength,Intermediate,Dumbbell,10,Medium,Shoulders,Shoulder limitations
Dumbbell Lunges,Adult,Strength,Intermediate,Dumbbell,10,Medium,Legs,Knee/balance limitations
Dumbbell Step-up,Adult,Strength,Intermediate,Dumbbell,10,Medium,Legs,Knee/balance limitations
Kettlebell Swing,Adult,Strength,Intermediate,Kettlebell,10,High,Glutes,Back limitations
Kettlebell Goblet Squat,Adult,Strength,Intermediate,Kettlebell,10,Medium,Legs,Knee limitations
Resistance Band Squat,Adult,Strength,Intermediate,Resistance Band,10,Medium,Legs,Knee limitations
Resistance Band Row,Adult,Strength,Intermediate,Resistance Band,10,Low,Back,Back limitations
Resistance Band Chest Press,Adult,Strength,Intermediate,Resistance Band,10,Low,Chest,Shoulder limitations
Barbell Back Squat,Adult,Strength,Intermediate,Barbell,15,High,Legs,Knee/back limitations
Barbell Deadlift,Adult,Strength,Intermediate,Barbell,15,High,Back,Back limitations
Barbell Bench Press,Adult,Strength,Intermediate,Barbell,15,Medium,Chest,Shoulder limitations
Barbell Bent-over Row,Adult,Strength,Intermediate,Barbell,15,Medium,Back,Back limitations
Barbell Overhead Press,Adult,Strength,Intermediate,Barbell,10,Medium,Shoulders,Shoulder limitations
Pull-up,Adult,Strength,Intermediate,Pull-up Bar,10,High,Back,Shoulder limitations
Chin-up,Adult,Strength,Intermediate,Pull-up Bar,10,High,Biceps,Shoulder limitations
Inverted Row,Adult,Strength,Intermediate,Pull-up Bar,10,Medium,Back,Shoulder limitations
Jump Squat,"Teen, Adult",Endurance,Intermediate,None,10,High,Legs,Knee/joint limitations
Jump Lunge,"Teen, Adult",Endurance,Intermediate,None,10,High,Legs,Knee/joint limitations
Box Jump,"Teen, Adult",Endurance,Intermediate,Step,10,High,Legs,Knee/joint limitations
Russian Twist,"Teen, Adult",Core,Intermediate,None,10,Medium,Core,Back limitations
Bicycle Crunch,"Teen, Adult",Core,Intermediate,None,10,Medium,Abs,Neck limitations
Flutter Kicks,"Teen, Adult",Core,Intermediate,None,5,Medium,Abs,Back limitations
V-Ups,Adult,Core,Intermediate,None,10,Medium,Abs,Back limitations
Hollow Body Hold,Adult,Core,Intermediate,None,5,Medium,Abs,Back limitations
Side Plank,"Teen, Adult",Core,Intermediate,None,5,Medium,Core,Shoulder limitations
Plank Shoulder Taps,"Teen, Adult",Core,Intermediate,None,5,Medium,Core,Wrist limitations
Reverse Lunge,"Teen, Adult",Strength,Intermediate,None,10,Medium,Legs,Knee/balance limitations
Curtsy Lunge,Adult,Strength,Intermediate,None,10,Medium,Glutes,Knee/balance limitations
Single-Leg Glute Bridge,Adult,Strength,Intermediate,None,10,Medium,Glutes,Back limitations
Weighted Calf Raise,Adult,Strength,Intermediate,Dumbbell,10,Low,Calves,Balance limitations
Tricep Dips,Adult,Strength,Intermediate,Bench,10,Medium,Triceps,Shoulder/wrist limitations
Skull Crushers,Adult,Strength,Intermediate,Dumbbell,10,Medium,Triceps,Elbow limitations
Hammer Curl,Adult,Strength,Intermediate,Dumbbell,10,Low,Biceps,Wrist limitations
Front Raise,Adult,Strength,Intermediate,Dumbbell,10,Low,Shoulders,Shoulder limitations
Face Pull,Adult,Strength,Intermediate,Resistance Band,10,Low,Shoulders,Shoulder limitations
Stationary Bike Sprint,"Teen, Adult",Endurance,Intermediate,Bicycle,15,High,Legs,Joint limitations
Jump Rope,"Teen, Adult",Endurance,Intermediate,Jump Rope,10,High,Full Body,Joint/ankle limitations
Shadow Boxing,"Teen, Adult",Endurance,Intermediate,None,10,Medium,Full Body,Shoulder limitations
